reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_path,method_source_format,method_source_sha256,method_source_bytes,method_source_origin,method_source_authority,method_source_url,method_source_receipt_path,method_source_status,screened_credit
11,RESERVE_ALL,P0083,RG7451199A34910E76,CWEDBE6166746C1BD9B59C,Training Data Attribution for Image Generation using Ontology-Aligned Knowledge Graphs,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWEDBE6166746C1BD9B59C,sources/P0083.pdf,PDF,75DA63EA3D202265D55DC4665ADA8A216BABE184F19F13D3DAA09CB0805FF174,1306720,sources/P0083.pdf,PDF,75DA63EA3D202265D55DC4665ADA8A216BABE184F19F13D3DAA09CB0805FF174,1306720,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
12,RESERVE_ALL,P0311,RG9DE8750E04F8B409,CWAC4080FD732BFDC2532D,Reinforcement Learning-Based Path Generation Using Sequential Pattern Reduction and Self-Directed Curriculum Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWAC4080FD732BFDC2532D,sources/P0311.pdf,PDF,4ACD4BE235770D713BB52F3CCB30DD3317B784A099E71B93E257302CD1540304,7027919,sources/P0311.pdf,PDF,4ACD4BE235770D713BB52F3CCB30DD3317B784A099E71B93E257302CD1540304,7027919,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
13,RESERVE_ALL,P0181,RGF3B1B6A2663F483C,CWFDE25B66BF88D724B447,OER: Offline Experience Replay for Continual Offline Reinforcement Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ5;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWFDE25B66BF88D724B447,sources/P0181.pdf,PDF,783932036E91DD0F6ED64987CE8B946B0686712AD76743664DDC33B6E984BFCD,1474861,sources/P0181.pdf,PDF,783932036E91DD0F6ED64987CE8B946B0686712AD76743664DDC33B6E984BFCD,1474861,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
14,RESERVE_ALL,P0328,RGA6A58A7170DD750D,CW3AC29261D879935C3D0C,Hindsight Experience Replay,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW3AC29261D879935C3D0C,sources/P0328.pdf,PDF,89DB330BB254D9C8818C61F2749CBE8F0535E8B487333409C5DC8CD8B3C89A04,2464277,sources/P0328.pdf,PDF,89DB330BB254D9C8818C61F2749CBE8F0535E8B487333409C5DC8CD8B3C89A04,2464277,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
15,RESERVE_ALL,P0320,RGD417D01CE3FE04C5,CWF86C727CE62F983B50E6,Understanding Edge-of-Stability Training Dynamics with a Minimalist Example,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ7;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWF86C727CE62F983B50E6,sources/P0320.pdf,PDF,9B0B79E805CCE883B596DCCAA5004A0A95AF0CCFABB73E140EA04DA6DCAD3A35,6516002,sources/P0320.pdf,PDF,9B0B79E805CCE883B596DCCAA5004A0A95AF0CCFABB73E140EA04DA6DCAD3A35,6516002,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
16,RESERVE_ALL,P0227,RG8F87939AC7676453,CWC471065CD84966F8CD0B,Confidence-Aware Paced-Curriculum Learning by Label Smoothing for Surgical Scene Understanding,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWC471065CD84966F8CD0B,sources/P0227.pdf,PDF,916129A118817A0FAC49F84BD4E40A197C57D1F18C4F042F310DDECF79C77436,1808025,sources/P0227.pdf,PDF,916129A118817A0FAC49F84BD4E40A197C57D1F18C4F042F310DDECF79C77436,1808025,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
17,RESERVE_ALL,P0129,RGFCD4B8DDEC1FC480,CW524B9752E3E96D1907D4,Addressing Multi-Label Learning with Partial Labels: From Sample Selection to Label Selection,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW524B9752E3E96D1907D4,sources/P0129.pdf,PDF,DB4F5D5B427E58397E8C34097BE3B62344368063DF1B0DFE6D7EA0B7590C0DA7,1312631,sources/P0129.pdf,PDF,DB4F5D5B427E58397E8C34097BE3B62344368063DF1B0DFE6D7EA0B7590C0DA7,1312631,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
18,RESERVE_ALL,P0191,RG43406DE359275D23,CW5BA6E7FEE26650EF1378,Personalized Federated Learning for Gradient Alignment,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW5BA6E7FEE26650EF1378,sources/P0191.pdf,PDF,9A15FFA7219C0F76999B15B832D1E4115F88832F1DE1ECEC10FFB28E64C536CC,1961199,sources/P0191.pdf,PDF,9A15FFA7219C0F76999B15B832D1E4115F88832F1DE1ECEC10FFB28E64C536CC,1961199,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
19,RESERVE_ALL,P0157,RG58E5DAFC741F617B,CW75FBA4F03F8EE6FDD8B7,Unsupervised feature selection via self-paced learning and low-redundant regularization,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW75FBA4F03F8EE6FDD8B7,sources/P0157.pdf,PDF,585457056F622810B3C058575AE2CEA412158CB37B00D965A90F3458E59FB710,3438852,sources/P0157.pdf,PDF,585457056F622810B3C058575AE2CEA412158CB37B00D965A90F3458E59FB710,3438852,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
20,RESERVE_ALL,P0076,RGD69071A6D4E62AF0,CW5D3A543720069633F942,An End-to-End Curriculum Learning Approach for Autonomous Driving Scenarios,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW5D3A543720069633F942,sources/P0076.pdf,PDF,82B2F532DE94BC45A5626F04DCCCB9C0A8E21403680FC4A39685D32D46A1D2FA,3019338,sources/P0076.pdf,PDF,82B2F532DE94BC45A5626F04DCCCB9C0A8E21403680FC4A39685D32D46A1D2FA,3019338,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
21,RESERVE_ALL,P0110,RGE2CF775C97018D26,CW5DCEEFCD3BD815AB2CDE,Selecting Demonstrations for Many-Shot In-Context Learning via Gradient Matching,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW5DCEEFCD3BD815AB2CDE,sources/P0110.pdf,PDF,36F3F7F8A0C45D6B17F4BE353A657C127B353A502475B8CFCA5DC18EDF850DC4,2209111,sources/P0110.pdf,PDF,36F3F7F8A0C45D6B17F4BE353A657C127B353A502475B8CFCA5DC18EDF850DC4,2209111,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
22,RESERVE_ALL,P0207,RG34C6CC05281DE49C,CW0A343E50A487DC7926DA,Off-Policy Actor-Critic with Shared Experience Replay,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ5;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW0A343E50A487DC7926DA,sources/P0207.pdf,PDF,B572A031E13EB12E7EA5F606E758739457CD422F2D6B6EF414C2DF549A97D2F6,1024976,sources/P0207.pdf,PDF,B572A031E13EB12E7EA5F606E758739457CD422F2D6B6EF414C2DF549A97D2F6,1024976,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
23,RESERVE_ALL,P0152,RGE7014358FFBBD881,CWD1941BFD54C89947BA64,"Differential Privacy, Linguistic Fairness, and Training Data Influence: Impossibility and Possibility Theorems for Multilingual Language Models",NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ8,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWD1941BFD54C89947BA64,sources/P0152.pdf,PDF,20B3C113F5776E922C349D118BDD636981371124B400F8BE9B647C23D34F1BC3,3367500,sources/P0152.pdf,PDF,20B3C113F5776E922C349D118BDD636981371124B400F8BE9B647C23D34F1BC3,3367500,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
24,RESERVE_ALL,P0012,RG2343DBE30FFB1916,CWA93DE7A135ED2B908EDA,FedNoiL: A Simple Two-Level Sampling Method for Federated Learning with Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ6;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWA93DE7A135ED2B908EDA,sources/P0012.pdf,PDF,32855AFE267ADAD91A96BC4A9973B372052F95E3CD28E9B5107246F890E19498,1589150,sources/P0012.pdf,PDF,32855AFE267ADAD91A96BC4A9973B372052F95E3CD28E9B5107246F890E19498,1589150,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
25,RESERVE_ALL,P0166,RG03282F5D0498C0BB,CW519236560CAA94C7E1E8,Learning to Generate Synthetic Training Data using Gradient Matching and\n Implicit Differentiation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CW519236560CAA94C7E1E8,sources/P0166.pdf,PDF,C29D8EDF467D95A7A89EB925E0AE252C7B7DC2F0ACC720BEB6DC6015A1BD9002,1646462,sources/P0166.pdf,PDF,C29D8EDF467D95A7A89EB925E0AE252C7B7DC2F0ACC720BEB6DC6015A1BD9002,1646462,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
26,RESERVE_ALL,P0331,RG65AD6185EC84DA30,CWC4916390383E1FB37D3D,Q-VGM: Q-Guided Value-Gradient Matching for Flow-Matching VLA Policies,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWC4916390383E1FB37D3D,sources/P0331.pdf,PDF,587F8F878DAAAFD39C68FCAC5D6E440886093E6CBEE6D653EA2CC102D2CF755D,4008832,sources/P0331.pdf,PDF,587F8F878DAAAFD39C68FCAC5D6E440886093E6CBEE6D653EA2CC102D2CF755D,4008832,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
27,RESERVE_ALL,P0273,RG95C7188036D6B7E8,CWD6EB26DA1D6FE7781F54,MRHER: Model-based Relay Hindsight Experience Replay for Sequential Object Manipulation Tasks with Sparse Rewards,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,PROVISIONAL_RESERVE,RESERVE_CWD6EB26DA1D6FE7781F54,sources/P0273.pdf,PDF,EEBBF701D59907582A6DF49B6EEA1628DEC6794643C1AF65CF662C68A792EAEA,4937074,sources/P0273.pdf,PDF,EEBBF701D59907582A6DF49B6EEA1628DEC6794643C1AF65CF662C68A792EAEA,4937074,BROAD_SOURCE,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,NOT_APPLICABLE_WITH_REASON:retained in BROAD acquisition ledger,REUSE_VERIFIED_METHOD_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
