paper_id,title,year,venue,primary_full_text_url,local_pdf,pdf_sha256,page_count,reading_status,sections_completed,key_equations,key_tables,key_ablations,code_url,stage1_support,stage1_non_support,transfer_boundary,note_path,reviewed_at
P013,"Influence Functions in Deep Learning Are Fragile",2021,"ICLR 2021",https://arxiv.org/pdf/2006.14651,source_papers/Influence_Functions_Fragile_2021.pdf,C03CED98DEA27D0EE6882C3594B77F3617F8DD4F1C0B49A14E12C16271A7557F,22,REPLICATION_DEPTH,"PDF_22_OF_22;AUTHOR_TEX_SOURCE;VISUAL_P4_P5_P6_P7_P8_P9_P15_P16_P19_P20_P21","I_up_params;I_up_loss;CG_inverse_HVP;stochastic_inverse_HVP;Taylor_gap","Table1;Table2;Figure1;Figure2;Figure3;Figure4;Figure11;Figure15;Figure16;Figure18","weight_decay;depth;width;architecture;target_point;top_vs_low_influence_tail;initialization;optimizer;group_size;multi_target",,"Influence must be calibrated by model state target and intervention; baseline training drift and set effects matter; deep group influence can fail","No replay efficacy; no numeric schedule; no FN constraint; no reliable full-network yolo11l influence; no fixed-selection seed stability","Treat curvature influence as an observational calibrated probe; require explicit sign target identity finite-difference drift controls and causal replay",notes/P013_Influence_Functions_Fragile_2021.md,2026-08-07
P014,"If Influence Functions are the Answer, Then What is the Question?",2022,"NeurIPS 2022",https://proceedings.neurips.cc/paper_files/paper/2022/file/7234e0c36fdbcb23e7bd56b68838999b-Paper-Conference.pdf,source_papers/Influence_Question_PBRF_2022.pdf,943184BEDD774849911E39C0B02FC35AC88241ABCB3A2A82DB40371400C72E14,26,REPLICATION_DEPTH,"MAIN_15_OF_15;SUPPLEMENT_11_OF_11;PYTORCH_CODE_AUDIT;VISUAL_MAIN_P2_TO_P10_SUPP_P5_TO_P10","response_function;proximal_response;PBRF;linearized_PBRF;GNH_influence;CG;LiSSA","Table1;Table2;Table4;Table5;Table6;Table7;Table8;Figure1;Figure4;Figure5;Figure6","warm_start;proximity;non_convergence;linearization;solver;width;depth;training_time;weight_decay;damping;group_removal;two_stage_LOO",https://github.com/alstonlo/torch-influence,"Separates causal retraining from local proximity-constrained estimands; continued-training drift control; damping changes the question","No additive replay; no FN constraint; no numeric schedule; no fixed-selection multi-seed result; central experiment code absent","Name the intervention first; calibrate local probes against finite same-checkpoint branches and keep main replay arms causal",notes/P014_Influence_Question_PBRF_2022.md,2026-08-07
P015,"Training Data Attribution via Approximate Unrolling",2024,"NeurIPS 2024",https://proceedings.neurips.cc/paper_files/paper/2024/file/7af60ccb99c7a434a0d9d9c1fb00ca94-Paper-Conference.pdf,source_papers/SOURCE_Approximate_Unrolling_2024.pdf,C0B6A9E52F16D2AA87782A479716B8D247E7FB52414ACFDE1D061F00F5491271,40,REPLICATION_DEPTH,"PDF_40_OF_40;DERIVATIONS;EXPERIMENTS;LIMITATIONS;KRONFLUENCE_AUDIT;SIMPLE_INFLUENCE_AUDIT;VISUAL_P1_TO_P40","exact_unroll;expected_trajectory_effect;segment_factorization;S_matrix;r_spectral_filter;preconditioned_SOURCE;EKFAC","Figure3;Figure4;Figure5;Figure7;Figure8;Figure9;Figure10;Table1","single_vs_multi_model;one_vs_three_segments;parameter_average;sampling_ratio;nonconverged;label_noise;multi_stage;linear_controls","https://github.com/pomonam/kronfluence;https://github.com/pomonam/simple-influence","Trajectory-conditioned attribution; segment and optimizer fields; seed-specific attribution; single-point ground-truth noise; stationarity diagnostics","No additive replay guarantee; no FN constraint; no numeric schedule; no stable static rank; publication package does not reproduce central experiments","Use as a calibrated mechanism probe against finite same-state replay; keep timing dose guard and no-replay arms causal",notes/P015_SOURCE_Approximate_Unrolling_2024.md,2026-08-07
P016,"TRAK: Attributing Model Behavior at Scale",2023,"ICML 2023; PMLR 202",https://proceedings.mlr.press/v202/park23c/park23c.pdf,source_papers/TRAK_2023.pdf,9A3AA5C2B83511DDAC253B2368DAF808590E9C8714089A51BE5CF4BFE069B96E,40,REPLICATION_DEPTH,"PDF_40_OF_40;DERIVATIONS;EXPERIMENTS;ABLATIONS;CODE_AUDIT;VISUAL_P1_TO_P40","LDS;one_step_Newton;eNTK_linearization;random_projection;TRAK_reweighting;Q_term;ensemble","Figure1;Figure4;Figure5;Figure6;Figure8;Figure9;Figure12;Table2;Table3;Table4;Table5;Table6","projection_dimension;ensemble_size;early_checkpoints;same_trajectory_checkpoints;formula_terms;full_vs_last_layer;ensemble_order",https://github.com/MadryLab/trak,"Seed and checkpoint conditioning; contextual gradient reweighting; full-gradient calibration; semantic versus behavioral influence","No additive replay guarantee; no FN constraint; no numeric schedule; no stable static rank; LDS is not safety probability","Use projected gradients as provenance-locked mechanism probes calibrated against finite same-state replay",notes/P016_TRAK_2023.md,2026-08-07
P017,"Faster Neural Network Training with Data Echoing",2020,"arXiv 2019; version 3, 2020",https://arxiv.org/pdf/1907.05550,source_papers/Data_Echoing_2019.pdf,104EF74BAB1E8CB4826EC2A6DBBC3C552C7094B66BAFE1FB0C058E939EA1A57D,15,FULL_READ_COMPLETE,"PDF_15_OF_15;METHOD;EXPERIMENTS;ABLATIONS;LIMITATIONS;VISUAL_P1_TO_P15","pipeline_time;upstream_downstream_ratio;echo_factor","Table1;Figure3;Figure4;Figure5;Figure6;Figure7;Figure8;Figure9_to_Figure15","insertion_point;pre_post_augmentation;batch_vs_example;echo_factor;batch_size;shuffle_buffer;final_quality","","Replay occurrence timing and context; cumulative exposure; augmentation-view identity; batch concentration and shuffle lag","No targeted selection; no fixed canonical optimizer; no late decay; no weak-tail constraint; no paired seed stability; no numeric Stage1 schedule","Use as evidence for timing-dose-context measurement and causal decomposition, not as a Stage1 schedule or ranking",notes/P017_Data_Echoing_2019.md,2026-08-07
P018,"Stochastic Optimization with Laggard Data Pipelines",2020,"NeurIPS 2020",https://proceedings.neurips.cc/paper/2020/file/74dbd1111727a31a2b825d615d80b2e7-Paper.pdf,source_papers/Laggard_Data_Pipelines_2020.pdf,9D5565A16B312226DBEF1AF52CA50794C33E636F9DBF9A9F64DE416C7EE82F5A,30,REPLICATION_DEPTH,"MAIN_12_OF_12;SUPPLEMENT_18_OF_18;ALL_PROOFS;EXPERIMENT_DETAILS;VISUAL_MAIN_P1_TO_P12_SUPP_P1_TO_P18","uniform_stability;potential_bounded_regret;echoed_GD_bound;prox_GD_bound;quadratic_AGD_bound","Table1;Table2;Figure1;Figure2;Figure3","batch_size;echo_factor;learning_rate;bias_variance_phase;fresh_samples;total_steps","","Fresh versus repeated information; stale-update stability; timing-dose decomposition; optimizer-state and autocorrelation fields","Convex i.i.d. theory; tuned learning rate per condition; no targeted replay; no deep model; no weak-tail constraint; no numeric schedule","Use as a mechanism and accounting model; test fixed canonical deep-model schedules causally",notes/P018_Laggard_Data_Pipelines_2020.md,2026-08-07
P019,"Learn the Time to Learn: Replay Scheduling in Continual Learning",2023,"TMLR 09/2023",https://arxiv.org/pdf/2209.08660,source_papers/Replay_Scheduling_TMLR_2023.pdf,C10C3AC54DD62ED5D38ED16E0AD446194A6F2779011B2489FA0EBF1007829D4E,56,REPLICATION_DEPTH,"PDF_56_OF_56;METHOD;FULL_APPENDIX;ALL_TABLES;CODE_AUDIT;VISUAL_P1_TO_P56","replay_schedule;MCTS_UCT_max_reward;validation_reward;RL_state_action_reward","Figure1;Table1_to_Table51;Algorithm1;Algorithm2","same_memory_different_time;memory_size;selection_method;recent_replay_methods;tiny_memory;new_seed_transfer;new_task_order;new_dataset",https://github.com/marcusklasson/replay_scheduling,"Replay timing is causal; schedule value is context and seed dependent; discovery-confirmation separation; exposure accounting","Continual-task setting; five seeds; adaptive validation search; no fixed cumulative-dose isolation; no weak-tail constraint; no Stage1 ratio or cutoff","Use to justify fixed preregistered timing and dose controls, not an adaptive scheduler or numeric Stage1 schedule",notes/P019_Replay_Scheduling_TMLR_2023.md,2026-08-07
P020,"Early-Learning Regularization Prevents Memorization of Noisy Labels",2020,"NeurIPS 2020",https://proceedings.neurips.cc/paper/2020/file/ea89621bee7c88b2c5be6681c8ef4906-Paper.pdf,source_papers/Early_Learning_Regularization_NeurIPS_2020.pdf,D29F8D401B62E9E7CDABAAF5B45E08AB2CBB8CB0122A7D610F03573062C4F331,26,REPLICATION_DEPTH,"MAIN_12_OF_12;SUPPLEMENT_14_OF_14;ALL_PROOFS;EXPERIMENTS;ABLATIONS;PEER_REVIEW;CODE_AUDIT;VISUAL_MAIN_P1_TO_P12_SUPP_P1_TO_P14","CE_gradient_factor;early_learning_time;ELR_loss;ELR_gradient;temporal_target","Figure1;Figure2;Table1_to_Table5;FigureA1;FigureB1;FigureC1;FigureD1;TableG1;TableG2;FigureH1;TableI1","KL_regularizer;target_without_ELR;temporal_momentum;regularization_strength;weight_averaging;two_networks;mixup;noise_level;learning_rate_schedule",https://github.com/shengliu66/ELR,"Relative gradient dominance after easy/base gradients vanish; temporal target and update direction must be separated; all-epoch process fields","Noisy-label setting; stylized linear theory; unseeded NumPy; five noise realizations; test every epoch; no replay schedule or FN constraint; no numeric cutoff","Use to test replay/base dominance and weak-defect gradient conflict over time, not to label Stage1 samples as noisy or import ELR",notes/P020_Early_Learning_Regularization_NeurIPS_2020.md,2026-08-07
P021,"Identifying Mislabeled Data using the Area Under the Margin Ranking",2020,"NeurIPS 2020",https://proceedings.neurips.cc/paper_files/paper/2020/file/c6102b3727b2a7d8b1bb6981147081ef-Paper.pdf,source_papers/AUM_NeurIPS_2020.pdf,EB66138E223D17AE8D39C5545C02672CA3055C9B42853F3E035FE560FDCDB503,17,REPLICATION_DEPTH,"MAIN_13_OF_13;SUPPLEMENT_4_OF_4;METHOD;EXPERIMENTS;FAILURES;PEER_REVIEW;CODE_AUDIT;TEST_EXECUTION;VISUAL_MAIN_P1_TO_P13_SUPP_P1_TO_P4","epoch_margin;AUM_running_mean;threshold_percentile","Figure1_to_Figure7;Table1_to_Table5;FigureS1_to_FigureS6","single_margin_vs_AUM;cross_architecture;threshold_percentile;uniform_vs_asymmetric_noise;augmentation;real_world_datasets",https://github.com/asappresearch/aum,"All-epoch assigned-margin trajectories; protocol-aware temporal aggregation; cross-seed rank stability; separate exposure counts","Data removal rather than replay; altered batch and stopping protocol; asymmetric-noise failure; ImageNet degradation; four or one trials; test-selected large runs; no FN constraint or numeric schedule","Use as a persistence and noise-risk diagnostic inside the canonical run, never as a positive replay value or permission to change hyperparameters",notes/P021_AUM_NeurIPS_2020.md,2026-08-07
P022,"A Closer Look at Memorization in Deep Networks",2017,"ICML 2017; PMLR 70",https://proceedings.mlr.press/v70/arpit17a/arpit17a.pdf,source_papers/A_Closer_Look_at_Memorization_ICML_2017.pdf,1146F2F3D140ABA0270300EF6954EADE2ABFB399C1E461C955A810F2CBE9A68B,10,FULL_READ_COMPLETE,"PDF_10_OF_10;METHOD;ALL_EXPERIMENTS;ALL_FIGURES;LIMITATIONS;VISUAL_P1_TO_P10","effective_capacity;unrolled_loss_sensitivity;critical_sample_ratio;LASS","Figure1_to_Figure11;Algorithm1","real_vs_randX_vs_randY;noise_fraction;capacity;dataset_size;training_time;regularizer_sweeps;CSR_over_time","","Pattern learning can precede memorization; ease is cross-seed; algorithm identity includes training procedure; complexity is stage dependent","Synthetic random noise; mostly qualitative; unspecified replicates; validation-tuned regularization; tiny unrolled model; no code; no replay or FN constraint","Use for transition and field hypotheses under a frozen canonical algorithm, not a cutoff, ranking or hyperparameter change",notes/P022_A_Closer_Look_at_Memorization_ICML_2017.md,2026-08-07
P023,"Understanding and Improving Early Stopping for Learning with Noisy Labels",2021,"NeurIPS 2021",https://proceedings.neurips.cc/paper_files/paper/2021/file/cc7e2b878868cbae992d1fb743995d8f-Paper.pdf,source_papers/Progressive_Early_Stopping_NeurIPS_2021.pdf,E25C97DF3B77DEA3501E8CAFE6498FEA2EF4B0933732D65BB4C5F5C1A7868ED4,16,REPLICATION_DEPTH,"MAIN_12_OF_12;SUPPLEMENT_4_OF_4;METHOD;ALL_EXPERIMENTS;SENSITIVITY;LIMITATIONS;CODE_AUDIT;VERSION_AUDIT;EXECUTABLE_PROBES;VISUAL_MAIN_P1_TO_P12_SUPP_P1_TO_P4","layerwise_objectives;progressive_T_order;two_view_confident_selection","Figure1_to_Figure3;Table1_to_Table6;Algorithm1;Supplement_Table1_to_Table5","early_stop_vs_PES;T2_sweep;T3_sweep;confidence_selection;class_weighting;MixMatch;noise_types;Clothing1M",https://github.com/tmllab/PES,"Layer and stage dependent noise effects; module-level process probes; schedule parameters require preregistration","No replay or FN constraint; tuned layer resets; bundled refinements; few runs; no universal cutoff; code-paper timing mismatch; stale optimizer; test selection","Use module-level gradients and updates as diagnostics under the exact canonical lock; do not import PES parameters or alter formal training",notes/P023_Progressive_Early_Stopping_NeurIPS_2021.md,2026-08-07
P024,"Training Well-Generalizing Classifiers for Fairness Metrics and Other Data-Dependent Constraints",2019,"ICML 2019; PMLR 97",https://proceedings.mlr.press/v97/cotter19b/cotter19b.pdf,source_papers/Training_Well_Generalizing_Classifiers_ICML_2019.pdf,1D08A44C7CF1CA67F8B91C49C62F0D4BFECEB751A996014D5871966E869C10DD,24,REPLICATION_DEPTH,"MAIN_9_OF_9;SUPPLEMENT_15_OF_15;DEFINITIONS;ALGORITHMS_1_TO_4;THEOREMS;ALL_EXPERIMENTS;FAILURES;CODE_AUDIT;VERSION_AUDIT;NUMERICAL_PROBE;VISUAL_MAIN_P1_TO_P9_SUPP_P1_TO_P15","two_dataset_proxy_lagrangian;constraint_generalization_bounds;Neyman_Pearson_rate_constraint;support_at_most_m_plus_1","Table1_to_Table4;Algorithms1_to_4;Supplement_Figure1_to_Figure2","one_vs_two_dataset;model_capacity;four_real_datasets;simulation_sigma;linear_vs_5_10_100_hidden_units",https://github.com/google-research/tensorflow_constrained_optimization,"Independent constraint data; proxy versus original rate separation; objective and safety reporting; split-role provenance","No replay timing or dose; no canonical hyperparameter change; practical algorithms lack guarantees; objective cost; current tutorial is not paper replication and has an empty-negative-slice predicate","Use as a split and evaluation architecture under the exact canonical lock; do not import proxy-Lagrangian training or paper hyperparameters",notes/P024_Two_Dataset_Constraints_ICML_2019.md,2026-08-07
P025,"Neyman-Pearson Classification Algorithms and NP Receiver Operating Characteristics",2018,"Science Advances 4(2), eaao1659",https://pmc.ncbi.nlm.nih.gov/articles/PMC5804623/,source_papers/Neyman_Pearson_Umbrella_NP_ROC_2018.pdf,89C21BF2FC961433B27C261B36C0FFE613821267BDEFFEBBCD3D73F5A75C2DE7,32,REPLICATION_DEPTH,"MAIN_18_OF_18;SUPPLEMENT_14_OF_14;PROPOSITION_1;ALGORITHM_1;ALL_EXPERIMENTS;ALL_TABLES;LIMITATIONS;OFFICIAL_REPRODUCTION_CODE_915_LINES;PACKAGE_VERSION_AUDIT;NUMERICAL_PROBES;VISUAL_P1_TO_P32","NP_oracle_constraint;order_statistic_violation_bound;k_star;n_min;conditional_typeII_bounds","Figure1_to_Figure4;FigureS1_to_FigureS2;TableS1_to_TableS2","naive_vs_CV_vs_NP;single_vs_5_9_11_15_splits;LR_vs_LDA_generators;six_base_classifiers;two_real_applications",https://CRAN.R-project.org/package=nproc,"Independent prioritized-class threshold calibration; explicit alpha versus delta; exact sample-size feasibility; raw versus conservative operating points","No replay selection or timing; one-split theorem only; iid dependence risk; no training hyperparameter support; code has versioned boundary defects","Use as a post-freeze threshold-calibration and split-role gate under the exact canonical lock; do not import package defaults or paper model settings",notes/P025_NP_Umbrella_SciAdv_2018.md,2026-08-07
P026,"When AUC meets DRO: Optimizing Partial AUC for Deep Learning with Non-Convex Convergence Guarantee",2022,"ICML 2022; PMLR 162",https://proceedings.mlr.press/v162/zhu22g/zhu22g.pdf,source_papers/When_AUC_Meets_DRO_ICML_2022.pdf,CE0C5E4494774DE414D5844CC69F05CBF351961A11DD83460B357744A93D8B40,26,FULL_READ_COMPLETE,"MAIN_11_OF_11;SUPPLEMENT_15_OF_15;DEFINITIONS;ALGORITHMS_1_TO_4;THEOREMS_1_TO_6;ALL_EXPERIMENTS;ALL_ABLATIONS;LIMITATIONS;POST_PUBLICATION_CODE_AUDIT;VISUAL_P1_TO_P26","OPAUC_top_negative_pairs;TPAUC_bottom_positive_top_negative_pairs;CVaR_exact_tail_mean;KLDRO_logsumexp;three_level_composition","Figure1_to_Figure6;Table1_to_Table7;Algorithms1_to_4","SOPA_vs_SOPAs;SOTAs_vs_MB_AWpoly;gamma0_gamma1_grid;KLDRO_relative_error;moderate_FPR_TPR_regions",https://github.com/Optimization-AI/LibAUC,"Pairwise tail interactions; exact versus smooth tail summaries; dynamic identity state; sparse pair diagnostics","No replay timing or FN95 constraint; moderate tail ranges; unspecified repeat count; post-paper code mismatch; no canonical hyperparameter support","Use tail-pair and dual-gradient diagnostics inside fixed canonical causal arms; do not replace the loss or import numeric settings",notes/P026_When_AUC_Meets_DRO_ICML_2022.md,2026-08-07
