canonical_field_id,logical_source,normalized_path,field_path,definition,definition_status,collection_state,raw_or_derived,granularity,time_scope,collection_frequency,files_observed,runs_observed,files_expected,runs_expected,coverage_rate,missing_rate,values_observed,non_null_count,null_count,value_null_rate,null_profile_status,unit,reproducibility,leakage_risk,availability_phase,hypothesis_ids,collection_cost_class,priority,priority_reason,gap_status,path_total_bytes,path_mean_bytes_per_file,path_min_bytes,path_max_bytes,artifact_manifest_listed_rate,artifact_manifest_size_match_rate,artifact_sha256_present_rate,storage_attribution,usage_role,usage_status,rationale,source_kind,schema_variant_count,matched_rule_id,scan_status,files_profiled,runs_profiled,unique_count,unique_count_lower_bound,unique_count_exact,constant_state,constant_proved,numeric_count,non_numeric_count,numeric_min,numeric_max,redacted_examples_json,value_digest_sha256,sensitive_values_redacted,original_usage_role,original_usage_status,refinement_rule_id,derived_consumer,derived_evidence_verified,silently_dropped,path_files_observed,domain
planned::difficult_normal_tail_score_trajectory,next_campaign_field_contract,<PLANNED>/probe_predictions,difficult_normal_tail_score_trajectory,Raw defect probabilities for the frozen difficult-normal probe set at key epochs.,PLANNED_CONTRACT,NOT_COLLECTED,OBSERVED_MODEL_OUTPUT,RUN_SAMPLE_CHECKPOINT,DURING_TRAINING,KEY_EPOCHS_120_140_150_160_180_200,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,probability,RECOMPUTABLE_FROM_CHECKPOINT_AND_INPUT_HASH,VALIDATION_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY;H4_SEED_SENSITIVITY,MEDIUM,P0,Required to verify that dynamic replay actually lowers the target normal tail.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to verify that dynamic replay actually lowers the target normal tail.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,probe_predictions
planned::key_epoch_val_op_raw_predictions,next_campaign_field_contract,<PLANNED>/probe_predictions,key_epoch_val_op_raw_predictions,"Unrounded sample-level operational-validation scores at epochs 120, 140, 150, 160, 180, and 200.",PLANNED_CONTRACT,NOT_COLLECTED,OBSERVED_MODEL_OUTPUT,RUN_SAMPLE_CHECKPOINT,DURING_TRAINING,KEY_EPOCHS_120_140_150_160_180_200,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,raw_score,RECOMPUTABLE_FROM_CHECKPOINT_AND_INPUT_HASH,VALIDATION_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY;H3_WEAK_DEFECT_GUARD;H4_SEED_SENSITIVITY,HIGH,P0,Required before confirmatory launch because it identifies the causal replay mechanism.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required before confirmatory launch because it identifies the causal replay mechanism.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,probe_predictions
planned::weak_defect_tail_score_trajectory,next_campaign_field_contract,<PLANNED>/probe_predictions,weak_defect_tail_score_trajectory,Raw defect probabilities for the frozen weak-defect probe set at key epochs.,PLANNED_CONTRACT,NOT_COLLECTED,OBSERVED_MODEL_OUTPUT,RUN_SAMPLE_CHECKPOINT,DURING_TRAINING,KEY_EPOCHS_120_140_150_160_180_200,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,probability,RECOMPUTABLE_FROM_CHECKPOINT_AND_INPUT_HASH,VALIDATION_ONLY,DURING_TRAINING,H3_WEAK_DEFECT_GUARD;H4_SEED_SENSITIVITY,MEDIUM,P0,Required to test whether normal replay harms the weak-defect tail.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to test whether normal replay harms the weak-defect tail.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,probe_predictions
planned::tail_probe_membership_manifest,next_campaign_field_contract,<PLANNED>/probe_sets,tail_probe_membership_manifest,Frozen difficult-normal and weak-defect probe membership with derivation provenance.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,SAMPLE,PRETRAIN_DECLARED,ONCE_PER_CAMPAIGN,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,membership,HASH_VERIFIABLE,TRAIN_OR_VALIDATION_ONLY,BEFORE_TRAINING,H2_DYNAMIC_REPLAY;H3_WEAK_DEFECT_GUARD,LOW,P0,Probe membership must remain fixed across arms and seeds.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Probe membership must remain fixed across arms and seeds.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,probe_sets
planned::per_sample_replay_exposure_count,next_campaign_field_contract,<PLANNED>/realized_exposure,per_sample_replay_exposure_count,Realized number of replay draws for each selected sample by epoch and cumulatively.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN_SAMPLE_EPOCH,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,draw_count,REPLAYABLE_FROM_SAMPLER_TRACE,TRAIN_ONLY,DURING_TRAINING,H2_DYNAMIC_REPLAY;H4_SEED_SENSITIVITY,MEDIUM,P0,Required to distinguish configured replay from realized optimization exposure.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to distinguish configured replay from realized optimization exposure.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,realized_exposure
planned::guard_weight_per_epoch,next_campaign_field_contract,<PLANNED>/replay_schedule,guard_weight_per_epoch,Configured weak-defect guard multiplier applied at each epoch.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN_EPOCH,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,weight,DETERMINISTIC_FROM_ARM_CONTRACT,NONE,DURING_TRAINING,H3_WEAK_DEFECT_GUARD,LOW,P0,Required to test whether normal replay harms the weak-defect tail.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to test whether normal replay harms the weak-defect tail.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,replay_schedule
planned::replay_weight_per_epoch,next_campaign_field_contract,<PLANNED>/replay_schedule,replay_weight_per_epoch,Configured normal-replay multiplier applied at each training epoch.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN_EPOCH,DURING_TRAINING,EVERY_EPOCH,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,weight,DETERMINISTIC_FROM_ARM_CONTRACT,NONE,DURING_TRAINING,H2_DYNAMIC_REPLAY,LOW,P0,Required to distinguish configured replay from realized optimization exposure.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to distinguish configured replay from realized optimization exposure.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,replay_schedule
planned::run_arm_schedule_manifest,next_campaign_field_contract,<PLANNED>/replay_schedule,run_arm_schedule_manifest,Machine-readable replay and guard weights for every epoch of one arm.,PLANNED_CONTRACT,NOT_COLLECTED,RAW_RECORDED,RUN_EPOCH,PRETRAIN_DECLARED,ONCE_PER_RUN,0,0,0,0,0.0,1.0,0,0.0,0.0,,NOT_COLLECTED,weight,HASH_VERIFIABLE,NONE,BEFORE_TRAINING,H2_DYNAMIC_REPLAY;H3_WEAK_DEFECT_GUARD,LOW,P0,Required to distinguish configured replay from realized optimization exposure.,NOT_COLLECTED_REQUIRED,,,,,,,,FORECAST_SEPARATELY,NOT_COLLECTED_FIELD,NOT_TESTABLE,Required to distinguish configured replay from realized optimization exposure.,PLANNED,0,,,0,0,0.0,,,NO_VALUES,,,,,,,,,,,,next_campaign,,False,,replay_schedule
canonical_240run_evidence::00_identity/run_identity.json::run_row.arm,canonical_240run_evidence,00_identity/run_identity.json,run_row.arm,Observed field 'run_row.arm' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,3.0,3.0,True,NON_CONSTANT,False,0.0,240.0,,,"[""T"", ""R1"", ""R2""]",A61641B29A7CBED2282E630116BDA28ACA1AE141F9B6FD8A332B7B671D1C8206,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
canonical_240run_evidence::00_identity/run_identity.json::run_row.condition_id,canonical_240run_evidence,00_identity/run_identity.json,run_row.condition_id,Observed field 'run_row.condition_id' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,26.0,26.0,True,NON_CONSTANT,False,0.0,240.0,,,"[""A01_GapCritical-Strict_B600"", ""A02_GapCritical-Strict_B3000"", ""A03_GapCritical-Strict_B6000""]",02CE995416190C17618B9304FB590041622EAF9D215EA4BDB4EF72A88A1D026D,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
canonical_240run_evidence::00_identity/run_identity.json::run_row.condition_slot,canonical_240run_evidence,00_identity/run_identity.json,run_row.condition_slot,Observed field 'run_row.condition_slot' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,25.0,25.0,True,NON_CONSTANT,False,0.0,240.0,,,"[""A01"", ""A02"", ""A03""]",B560EE5201A8EB7BD5ADFB771203FF4C152F781985FA08CEBDB28CEDE0625089,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
canonical_240run_evidence::00_identity/run_identity.json::run_row.run_slot,canonical_240run_evidence,00_identity/run_identity.json,run_row.run_slot,Observed field 'run_row.run_slot' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,240.0,240.0,True,NON_CONSTANT,False,0.0,240.0,,,"[""RUN_001"", ""RUN_002"", ""RUN_003""]",2F32686F72343A657C22D170A58992DFF50B754FCD0152BD303A417166B1A163,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
canonical_240run_evidence::00_identity/run_identity.json::run_row.selection_seed,canonical_240run_evidence,00_identity/run_identity.json,run_row.selection_seed,Observed field 'run_row.selection_seed' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H4_SEED_SENSITIVITY;H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,240.0,240.0,True,NON_CONSTANT,False,240.0,0.0,232984.0,2140206268.0,"[""1228591616"", ""402136193"", ""496611123""]",4902D0073F2A13EEA84146D0B48334DFB2EFBC1831B13053E848C20E870A5986,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
canonical_240run_evidence::00_identity/run_identity.json::run_row.training_seed,canonical_240run_evidence,00_identity/run_identity.json,run_row.training_seed,Observed field 'run_row.training_seed' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H4_SEED_SENSITIVITY;H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,8.0,8.0,True,NON_CONSTANT,False,240.0,0.0,53303004.0,1829910790.0,"[""1829910790"", ""1385197443"", ""1343723075""]",0AD19B0CD8CBA24543DC08BEDCEB658319A59C6E9CFFB63EBD0800C32B498B13,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
canonical_240run_evidence::00_identity/run_identity.json::run_row.triad_id,canonical_240run_evidence,00_identity/run_identity.json,run_row.triad_id,Observed field 'run_row.triad_id' in '00_identity/run_identity.json'. Canonical matrix and triad identity.,SOURCE_RATIONALE,COLLECTED,RAW_RECORDED,RUN,PRETRAIN_OR_RUNTIME_DECLARED,ONCE_PER_SOURCE_ARTIFACT,240,240,240,240,1.0,0.0,240,240.0,0.0,0.0,PROFILED,unitless_or_categorical,HASH_VERIFIABLE,NONE_OR_TRAIN_ONLY,BEFORE_TRAINING,H1_REPLAY_CAUSAL_EFFECT,LOW,P0,"Required to pair runs, reconstruct trajectories, or compute preregistered outcomes.",SUFFICIENT_CURRENT,3752658.0,15636.075,15590.0,16582.0,1.0,1.0,1.0,PATH_LEVEL_REPEAT_ON_FIELDS_DO_NOT_SUM,PAIRING_KEY,AUDITED,Canonical matrix and triad identity.,JSON,2,run-identity-pairing,PROFILED,240,240,80.0,80.0,True,NON_CONSTANT,False,0.0,240.0,,,"[""TRIAD_001"", ""TRIAD_002"", ""TRIAD_003""]",3C45E8412F8FB68D87E04EDC8F9AE06B051D847E423DA720A3AB7DCFF7F35DBE,True,PAIRING_KEY,AUDITED,run-pairing-identity,,False,False,240.0,
