queue_id,decision,canonical_title,primary_url_checked,source_authority,checked_at,reading_scope,direct_rq_ids,relevance_class,problem_summary_zh,method_overview_zh,conclusion_summary_zh,critical_review_zh,stage1_transfer_zh,cannot_infer_zh,exclusion_reason,reviewer
"RG0E4A6EDAE8FA4E36","ELIGIBLE_BROAD","Learning to Detect Noisy Labels Using Model-Based Features","https://aclanthology.org/2022.findings-emnlp.426.pdf","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ4","DIRECT_INTERVENTION","单一 sample loss 噪声检测不够灵活，元学习选择器又难优化。","SENT 将噪声分布迁移到干净集，用多个 model-based features 训练噪声检测器，再增强 noisy-label training。","作者在文本分类与语音识别的自训练和标签污染设置中优于强基线。","依赖可构造噪声与干净参照，且跨模态模型特征未必校准；检测准确率仍不等于 replay 效用。","Stage1 Q 层应保留多动态字段而非只有 loss，并通过 OOF/人工子集校准，但不能将 Q 写进任意加权总分。","不能直接迁移 SENT 检测器，也不能把判为 clean 的样本自动判为值得重复训练。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG5D59B73A0DF7E734","ELIGIBLE_BROAD","Training data selection based on context-dependent state matching","https://api.crossref.org/works/10.1109/icassp.2014.6854214","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ4;RQ5","DIRECT_INTERVENTION","半监督语音只选高置信转写会牺牲音素/状态覆盖，使数据集虽干净却狭窄。","方法在高置信候选上增加 context-dependent state 分布匹配，使选择集接近人工 curated development set。","大规模 Voice Search 实验中，分布匹配选择优于随机选择的高置信 utterances。","比较基线是在高置信池内随机而非全局随机；ASR 状态分布是特定结构先验。","Stage1 可构造 method-matched random：在相同 Q/R 候选池内匹配难度后比较 D 覆盖。","不能把语音状态分布或结果直接用于视频图像，也不能忽略全局 R1。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGDADCF7A52C480EC0","ELIGIBLE_BROAD","Influences of non-landslide sample selection strategies on landslide susceptibility mapping by machine learning","https://api.crossref.org/works/10.1080/19475705.2023.2285719","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5","DIRECT_INTERVENTION","滑坡易感性模型的负类并非天然明确，不同 non-landslide 生成规则会改变分类边界和验证表现。","论文比较距离缓冲随机点、低影响因子区域和基于信息值分区的低中易感区三种负样本策略，并训练逻辑回归与神经网络。","作者报告从信息值低易感区选择的负样本获得最高 AUC。","用已有 susceptibility 信息生成负类可能形成循环定义；AUC 极高也需检查空间泄漏和分组切分。","Stage1 应审计 normal 样本来源定义与视频/管段泄漏，避免把容易 normal 的选择偏差误当价值。","不能把该负样本规则迁移到真实已标注 normal，也不能由 AUC 推出 FN95 安全收益。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG05A193188B051E80","EXCLUDE","AI Training Dynamics: Spectral Predictions","https://api.osf.io/v2/nodes/3gn7x/","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM","NOT_APPLICABLE_WITH_REASON:no direct research-question mapping","EXCLUDED","该 OSF 项目注册一组关于 grokking、barren plateaus、遗忘和泛化失败的谱结构预测。","NOT_APPLICABLE_WITH_REASON:the source is a prediction registry and invitation rather than a completed empirical sample-value study","NOT_APPLICABLE_WITH_REASON:no sample-selection intervention, random baseline, or validated conclusion is reported","NOT_APPLICABLE_WITH_REASON:predictions concern aggregate phase-space and spectral behavior, not which individual samples are worth replaying","NOT_APPLICABLE_WITH_REASON:no implemented Stage1 component can be justified from untested predictions alone","NOT_APPLICABLE_WITH_REASON:cannot infer sample utility or replay policy from prior-art registration","Unvalidated aggregate training-dynamics predictions do not meet the direct-evidence threshold.","codex_primary_review"
"RGAA447F4B312AD3C0","ELIGIBLE_BROAD","Cold-Start Data Selection for Better Few-shot Language Model Fine-tuning: A Prompt-based Uncertainty Propagation Approach","https://aclanthology.org/2023.acl-long.141.pdf","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5","DIRECT_INTERVENTION","无初始标签时单点 uncertainty 既不稳定又容易选择重复文本，需要传播信息并保持多样性。","PATRON 在图结构中传播 prompt-based uncertainty，再用 partition-then-rewrite 策略提高查询集合覆盖。","六个文本分类数据集上作者报告最多优于强基线 6.9%，128 标签达到大部分全监督性能。","这是 cold-start active learning，标签预算与 replay 曝光不同；prompt 表示和文本重写不可迁移。","Stage1 可把分数传播和 D 覆盖作为候选集合机制，并与单点 Top-K/随机严格同预算比较。","不能把 uncertainty propagation 视为可学习性，也不能从 128-label 结果推出回流预算。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGA715026D32D16F9D","ELIGIBLE_BROAD","Dataset Pruning: Reducing Training Data by Examining Generalization Influence","https://arxiv.org/pdf/2205.09329","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ2;RQ3;RQ5","DIRECT_INTERVENTION","不是所有训练样本都同等促进泛化，需要估计移除样本集合对 generalization gap 的影响。","论文把 dataset pruning 写成带理论约束的优化问题，估计删除样本或子集的泛化影响并寻找最小代理训练集。","作者报告理论与观测 gap 一致，CIFAR-10 删除 40% 后训练减半且精度仅降 1.3%，优于 score-based 方法。","目标多为保持全量性能而非胜过随机 replay；generalization influence 近似依赖训练设置和集合上下文。","Stage1 可将集合级影响而非永久单样本分数作为主线，并在现有 240-run 上回归 selection-set 属性。","不能把 pruning 中低影响样本等同 replay 中低价值，也不能由精度保持推断 FN95。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG65AD6185EC84DA30","ELIGIBLE_BROAD","Q-VGM: Q-Guided Value-Gradient Matching for Flow-Matching VLA Policies","https://arxiv.org/pdf/2606.08015","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ5;RQ7","TRANSFER_COMPONENT","流匹配 VLA 策略难以稳定地把 critic 价值梯度穿过多步去噪过程，直接反传会数值不稳。","Q-VGM 将 value gradient 转换成去噪时间的梯度场，在固定 replay buffer 上用 critic 指导策略更新。","作者报告在模拟与真实机器人任务上显著提高成功率并优于同 backbone/critic 基线。","这是 RL 策略更新而非训练样本选择；Q 值本身可有估计偏差，结果来自新损失而非 buffer ranking。","它支持 A 必须是目标价值方向而非梯度范数，但 Stage1 只应先采 head-gradient proxy 并做符号干预。","不能把 critic value-gradient 当图像样本价值，也不能由同 buffer 更新结果推出选样胜随机。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG726D7C1FF0238F0A","ELIGIBLE_BROAD","Navigating Coreset Selection and Model Compression for Efficient Maritime Image Classification","https://api.crossref.org/works/10.1109/wacvw65960.2025.00175","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ3;RQ5","DIRECT_INTERVENTION","海事图像含动态背景、遮挡和天气变化，同时边缘设备受训练与部署资源限制。","框架比较 random、margin 和 forgetting coreset，并联合训练后剪枝与混合精度量化。","作者报告 coreset 降低约 50% 计算、量化减少最多 94% 模型大小并保持约 95% 准确率。","模型压缩与选样混杂，来源为 workshop DOI 摘要；forgetting 是否优于 random 需逐表核对。","Stage1 可把 margin/forgetting/random 作为同一图像任务中的方法候选，但必须保持模型和训练精度不变。","不能把联合压缩收益归因于 coreset，也不能由总体准确率判断高召回尾部。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG6441DB3325F2660C","ELIGIBLE_BROAD","Calibration: the Achilles heel of predictive analytics","https://doi.org/10.1186/s12916-019-1466-7","PRIMARY_PUBLISHER","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ8","TARGET_METRIC","预测模型即使区分度高，概率校准差仍会误导高风险决策，外部验证中的校准曲线又需要足够样本。","综述发展、验证和更新阶段的 calibration 原则，强调复杂度与样本量平衡及外部校准评估。","作者主张校准必须成为预测模型验证和更新的核心部分。","它不研究样本选择；而 rank-based 安全前沿对单调校准不变，冻结阈值应用时才受校准影响。","Stage1 应把排序性能、两套阈值和 calibration 分层报告，避免把概率移动误称分布真正分离。","不能从校准改善推断样本回流有效，也不能用同一 val 集既构造方法又拟合/评估校准。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGE135141573B076B0","ELIGIBLE_BROAD","Optimizing Two-Way Partial AUC With an End-to-End Framework","https://arxiv.org/pdf/2206.11655","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ3;RQ8","TARGET_METRIC","普通 AUC 和单向 pAUC 不能同时聚焦高 TPR 与低 FPR 的 ROC 左上局部区域。","论文定义 TPR≥alpha、FPR≤beta 的 two-way partial AUC，并构造可随机端到端训练的 surrogate，上界原目标且给出泛化分析。","作者称这是首个 TPAUC 端到端优化框架，并在多数据集上验证有效。","TPAUC 区域与 Stage1 的离散 FN≤95/FN=0..95 前沿近似相关但不完全等价；surrogate 参数仍需独立验证集。","Stage1 可用 val_target 构造 weak-defect 与 dangerous-normal pairwise critical loss，作为 A 的目标梯度。","不能把 TPAUC loss 直接用于最终 test 选样，也不能让 val_op 同时承担目标构造和阈值冻结。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG83304EBD265BBE64","ELIGIBLE_BROAD","Unlabeled data selection for active learning in image classification","https://www.nature.com/articles/s41598-023-50598-z.pdf","PRIMARY_PUBLISHER","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5;RQ7","DIRECT_INTERVENTION","图像主动学习需要在小标签预算下估计样本训练价值，单一 acquisition function 可能不足。","论文比较 similarity、prediction probability 和 competence-based 三种选择策略，在 CIFAR-10/100 上逐轮查询。","作者报告所提方法优于随机和传统选择并减少所需训练数据。","主动学习把标签信息增量与样本身份效应混在一起；需要核对多 seed、预算和 exact random protocol。","Stage1 可把相似度覆盖、概率和 competence 分成候选臂，但 replay 中标签已知，不能照搬 acquisition。","不能从主动标注结果断言样本重复曝光有同样收益，也不能直接使用其预算。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RG787C2EFB26B1FB32","ELIGIBLE_BROAD","Navigating Towards Fairness with Data Selection","https://ojs.aaai.org/index.php/AAAI/article/download/34422/36577","PRIMARY_PUBLISHER","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ4;RQ5","TRANSFER_COMPONENT","不可靠标签会产生群体偏差，修改模型结构的公平方法难以在大数据上灵活部署。","方法以 zero-shot predictor 模拟 clean holdout，并结合 peer predictions 选择训练数据而无需额外 holdout。","作者报告跨数据集改善公平性且保持模态无关。","目标效用是公平而非 FN95；zero-shot proxy 和 peer prediction 的可靠性依赖外部模型。","Stage1 可借鉴无需共享训练样本的 proxy-Q 思路，但正式 R/A 必须由 OOF 与独立 val_target 定义。","不能把公平提升解释为总体样本效用，也不能引入未冻结外部模型而破坏实验身份。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGE280C352A792DBDB","EXCLUDE","Learning Dynamics Model in Reinforcement Learning by Incorporating the Long Term Future","https://arxiv.org/pdf/1903.01599","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM","NOT_APPLICABLE_WITH_REASON:no direct research-question mapping","EXCLUDED","论文学习的是强化学习环境 dynamics model，并通过长期未来辅助任务改善规划。","NOT_APPLICABLE_WITH_REASON:learning dynamics means environment transition modeling rather than model training trajectories","NOT_APPLICABLE_WITH_REASON:reported reward gains come from latent planning and exploration, not training-sample selection","NOT_APPLICABLE_WITH_REASON:the work does not estimate per-sample learnability, reliability, or replay utility","NOT_APPLICABLE_WITH_REASON:no direct Stage1 sample-value mechanism is evaluated","NOT_APPLICABLE_WITH_REASON:cannot infer any supervised replay ranking or constrained endpoint effect","Environment-model dynamics are a terminology collision with training dynamics.","codex_primary_review"
"RG53B5FDE56BE3AE5E","ELIGIBLE_BROAD","Hard Example Mining-based Training Strategy for Pointly-Supervised Instance Segmentation","https://api.crossref.org/works/10.1109/icicml60161.2023.10424879","OFFICIAL_REPOSITORY","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ1;RQ2;RQ4;RQ6","DIRECT_INTERVENTION","点监督实例分割只有每目标少量标注点，对所有点无差别训练会浪费稀缺监督。","方法集中训练挑战性标注点，以 hard-example mining 提高弱监督利用效率。","作者报告在 COCO 上比普通训练策略显著提升。","来源仅 DOI 摘要，hard criterion、随机对照和噪声风险未展开；任务单位是标注点而非图片。","Stage1 可保留 hardness-only 作为必要负/基准臂，检验 Q/R/A/D 是否真有增量。","不能由点监督正结果证明极端 HN 图片值得回流，也不能忽略 defect-tail 伤害。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
"RGC0B67CDA0E35322D","ELIGIBLE_BROAD","Task-Free Continual Learning via Online Discrepancy Distance Learning","https://doi.org/10.48550/arxiv.2210.06579","PRIMARY_PUBLISHER","2026-08-10T04:15:00+08:00","TITLE;ABSTRACT;PROBLEM;METHOD_OVERVIEW;CONCLUSION","RQ2;RQ5;RQ6","DIRECT_INTERVENTION","无任务边界的非平稳数据流中，memory buffer 与累积知识分布失配会造成遗忘。","ODDL 用 discrepancy distance 触发混合模型动态扩展，并按与累积知识的相关性选择样本存入 buffer。","作者给出基于 discrepancy 的泛化分析，并报告多项 TFCL 实验达到较好性能。","网络扩展与 buffer 选择同时改变，continual stream 也不同于固定训练集追加曝光。","Stage1 可把当前 replay 集与 base/target 分布的 discrepancy 作为 D/set 特征，并记录随 epoch 演化。","不能把最相关 memory 等同高价值图片，也不能由抗遗忘结果推出 FN95 改善。","NOT_APPLICABLE_WITH_REASON:included candidate","codex_primary_review"
