reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,method_source_status,screened_credit
11,RESERVE_ALL,P0116,RG69457C334A828050,CW8665C24D5E0A8E499D95,Hybrid Knowledge Transfer for Improved Cross-Lingual Event Detection via Hierarchical Sample Selection,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW8665C24D5E0A8E499D95,sources/P0116.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
12,RESERVE_ALL,P0004,RG9BE47F5B4499831F,CWE7E1FF580BE8EE45C805,Self-Paced Learning with Adaptive Deep Visual Embeddings,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWE7E1FF580BE8EE45C805,sources/P0004.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
13,RESERVE_ALL,P0161,RGCD2D2100BA9A77FD,CWBEC6D4B8418EE862A458,Identifying Mislabeled Data using the Area Under the Margin Ranking,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWBEC6D4B8418EE862A458,sources/P0161.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
14,RESERVE_ALL,P0293,RG624DDDCC0C8A6C94,CW256665AAA776542868B5,Learning from Noisy Labels with Complementary Loss Functions,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW256665AAA776542868B5,sources/P0293.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
15,RESERVE_ALL,P0480,RGE87B730534405D25,CW00C7E43476911A530EF6,Self-Paced Learning and Privileged Information based Cascaded Multi-column Classification algorithm for ASD diagnosis,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW00C7E43476911A530EF6,sources/P0480.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
16,RESERVE_ALL,P0186,RG3753B55186A38962,CWABE29E858A9AD7DA121B,Training with Growing Sets: A Simple Alternative to Curriculum Learning and Self Paced Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,PROVISIONAL_RESERVE,RESERVE_CWABE29E858A9AD7DA121B,sources/P0186.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
17,RESERVE_ALL,P0082,RG200EB44A242AEFC7,CWDABC672FF2C5CFFFFA65,Sample Selection for Fair and Robust Training,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWDABC672FF2C5CFFFFA65,sources/P0082.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
18,RESERVE_ALL,P0490,RGA3E1389D0D48A1E1,CW2EE1272F5C6F4EED2B29,Selecting Samples on Graphs: A Unified Dataset Pruning Framework for Lossless Training Acceleration,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW2EE1272F5C6F4EED2B29,sources/P0490.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
19,RESERVE_ALL,P0442,RGD11DE7A52F573F3B,CW8A37B3CFEFFE3B174716,Influence-driven Curriculum Learning for Pre-training on Limited Data,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW8A37B3CFEFFE3B174716,sources/P0442.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
20,RESERVE_ALL,P0383,RGF4AF8BFC1EAD51C4,CW58FAF9DF08A2CD9DD285,Less is More: Sample Selection and Label Conditioning Improve Skin Lesion Segmentation,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW58FAF9DF08A2CD9DD285,sources/P0383.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
21,RESERVE_ALL,P0394,RG79CD1D77F2683A15,CW97341423D5E5FA2BEA6F,Training Data Selection for Record Linkage Classification,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW97341423D5E5FA2BEA6F,sources/P0394.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
22,RESERVE_ALL,P0220,RG7743F30ED832B3A4,CWD88EE770216AE10F2A94,Reducing annotation effort in agricultural data: simple and fast unsupervised coreset selection with DINOv2 and K-means,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWD88EE770216AE10F2A94,sources/P0220.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
23,RESERVE_ALL,P0282,RGEEAA6FF824332B0D,CW46BEBD6FCE7F5E060A95,Semi-Supervised Acoustic Model Training by Discriminative Data Selection From Multiple ASR Systems’ Hypotheses,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW46BEBD6FCE7F5E060A95,sources/P0282.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
24,RESERVE_ALL,P0232,RGADDD9B5597581758,CW9448DB3B7DF0530D1E98,ToReMi: Topic-Aware Data Reweighting for Dynamic Pre-Training Data Selection,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW9448DB3B7DF0530D1E98,sources/P0232.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
25,RESERVE_ALL,P0130,RG37C5916602C5B613,CW8557B5266C60DB99FE69,UDON: Unsupervised Data SelectiON for Biomedical Entity Recognition,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW8557B5266C60DB99FE69,sources/P0130.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
26,RESERVE_ALL,P0067,RG71345855BAAFF5D6,CW525F9371226F64AF91CD,Active Self-Paced Learning for Cost-Effective and Progressive Face Identification,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW525F9371226F64AF91CD,sources/P0067.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
27,RESERVE_ALL,P0470,RG45EA7BE3CA580D89,CW700197937E1E6FDEDB8A,$\gamma$<i>-Razor</i>: Hardness-Aware Dataset Pruning for Efficient Neural Network Training,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW700197937E1E6FDEDB8A,sources/P0470.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
28,RESERVE_ALL,P0329,RGBE5116B0A8208DBC,CWB0DC86CAE3DD9B433960,Swift Cross-Dataset Pruning: Enhancing Fine-Tuning Efficiency in Natural Language Understanding,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWB0DC86CAE3DD9B433960,sources/P0329.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
29,RESERVE_ALL,P0167,RG591A97F0442BEB3A,CW14AAFAEE2D80998915EB,A CLIP-Powered Framework for Robust and Generalizable Data Selection,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW14AAFAEE2D80998915EB,sources/P0167.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
30,RESERVE_ALL,P0133,RGE5C6776C367063E6,CW15278F5B2F2669957ED2,Balanced self-paced learning with feature corruption,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW15278F5B2F2669957ED2,sources/P0133.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
31,RESERVE_ALL,P0107,RG3A00725F7CADC3A2,CWF7C5971D7D4A537B18DA,Early-Learning Regularization Prevents Memorization of Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CWF7C5971D7D4A537B18DA,sources/P0107.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
32,RESERVE_ALL,P0484,RG8D6A4A01FBEECD31,CW4B7FCC2E249C9FA8AF2F,Unbiased curriculum learning enhanced global-local graph neural network for protein thermodynamic stability prediction,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW4B7FCC2E249C9FA8AF2F,sources/P0484.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
33,RESERVE_ALL,P0417,RGC2403EE662227193,CW5FBCC90C2C5A57EA12E3,Utility-Diversity Aware Online Batch Selection for LLM Supervised Fine-tuning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,PROVISIONAL_RESERVE,RESERVE_CW5FBCC90C2C5A57EA12E3,sources/P0417.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
34,RESERVE_ALL,P0284,RG78D161AE59566E3E,CW4F0FC9FEC0B07A6A6520,Data Pruning via Moving-one-Sample-out,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW4F0FC9FEC0B07A6A6520,sources/P0284.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
35,RESERVE_ALL,P0455,RG38EE980ABF791FE0,CW15196F134C9AE8BF7C9F,Instance-dependent Early Stopping for Adaptive Data Pruning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ5;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW15196F134C9AE8BF7C9F,sources/P0455.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
36,RESERVE_ALL,P0227,RGE97E2679A7238C30,CW2B04E126074BDC88E615,Detecting Misannotated Long Non-coding RNAs with Training Dynamics of Deep Sequence Classification,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW2B04E126074BDC88E615,sources/P0227.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
37,RESERVE_ALL,P0020,RGA2645A37BA2ADFA3,CW4393E96BD48909A90BAF,Understanding Black-box Predictions via Influence Functions,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW4393E96BD48909A90BAF,sources/P0020.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
38,RESERVE_ALL,P0005,RG245A42E2CC8F508E,CWFF9F255564B9129445C5,Directional Influence Function: Estimating Training Data Influence in Constrained Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWFF9F255564B9129445C5,sources/P0005.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
39,RESERVE_ALL,P0432,RG2F18BB86AC7F439F,CW03E588D80D9773279952,A Closer Look at Memorization in Deep Networks,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW03E588D80D9773279952,sources/P0432.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
40,RESERVE_ALL,P0121,RG18ABF6A273E1A295,CW49FA8BF80A638D1F4107,Data Shapley: Equitable Valuation of Data for Machine Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ5;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW49FA8BF80A638D1F4107,sources/P0121.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
41,RESERVE_ALL,P0372,RGC7715BBA324EEE2E,CW61792F0F0872871C60DA,Probe-Based Data Attribution: Discovering and Mitigating Undesirable Behaviors in LLM Post-Training,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ4;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW61792F0F0872871C60DA,sources/P0372.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
42,RESERVE_ALL,P0425,RGF6E07840BF414D62,CWE3961CD1346459C4168F,"Train faster, generalize better: Stability of stochastic gradient descent",NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWE3961CD1346459C4168F,sources/P0425.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
43,RESERVE_ALL,P0290,RG01DD1491E9D9A923,CWFF50A03E32DACC52550C,An analytical theory of curriculum learning in teacher–student networks*,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ2;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWFF50A03E32DACC52550C,sources/P0290.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
44,RESERVE_ALL,P0401,RG438087AD1A47D500,CW1B352F229F7BC6E5CA99,MAGIC: Near-Optimal Data Attribution for Deep Learning,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW1B352F229F7BC6E5CA99,sources/P0401.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
45,RESERVE_ALL,P0143,RG5D41AD28A27FD28C,CW6297B5CE268C33797D01,FedSPL: federated self-paced learning for privacy-preserving disease diagnosis,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ5,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW6297B5CE268C33797D01,sources/P0143.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
46,RESERVE_ALL,P0214,RG17B27BB98EFDEEA6,CWEDEAC71899EFA8C7F98B,Insights of anomaly detection: How does polluted training data influence performance?,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ4;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWEDEAC71899EFA8C7F98B,sources/P0214.html,HTML,FULL_TEXT_DISCOVERY_REQUIRED,NOT_ASSESSED_AT_BROAD_LEVEL
47,RESERVE_ALL,P0213,RGAC619FD24AE93C65,CW2E9D8BCC9ABE5F270C0B,"How Faithful Is Trajectory-Based Data Attribution? Error Sources, Remedies, and Practical Guidelines",NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW2E9D8BCC9ABE5F270C0B,sources/P0213.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
48,RESERVE_ALL,P0191,RGA0C42B6F141443A0,CW823E525D93E51C5AC1EC,Multi-Objective Interpolation Training for Robustness to Label Noise,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW823E525D93E51C5AC1EC,sources/P0191.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
49,RESERVE_ALL,P0060,RGBBDE7FEFA3C75C54,CW0E04DC551A9EB3F3105D,Learning to Weight Parameters for Training Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW0E04DC551A9EB3F3105D,sources/P0060.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
50,RESERVE_ALL,P0008,RGFAAC8BB358F58FF9,CWF17C6BED9EE1843630C7,Leveraging Peer-Informed Label Consistency for Robust Graph Neural Networks with Noisy Labels,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ1;RQ4,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CWF17C6BED9EE1843630C7,sources/P0008.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
51,RESERVE_ALL,P0434,RG684EB7423D2502C7,CW7F0F13E4BCFFC5B276C8,DRIFT: Refining Instruction Data via On-Policy Data Attribution,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ3;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW7F0F13E4BCFFC5B276C8,sources/P0434.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
52,RESERVE_ALL,P0419,RG8091C63BD608CE7E,CW0C6061E28041372E480D,Investigating the locality of neural network training dynamics.,NOT_APPLICABLE_WITH_REASON:assigned only if reserve replaces a primary,RQ2;RQ3;RQ6,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,PROVISIONAL_RESERVE,RESERVE_CW0C6061E28041372E480D,sources/P0419.pdf,PDF,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
