reading_rank,selection_role,paper_id,queue_id,canonical_work_id,title,quota_rq,secondary_rqs,directness,relevance_class,effect_relation,selection_phase,tie_break_key,broad_source_path,broad_source_format,broad_source_sha256,broad_source_bytes,method_source_status,screened_credit
15,PRIMARY,P0022,RG24619E6A9B7207D1,CW4D854308DBEEDDEE6E57,Latent State Models of Training Dynamics,RQ8,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,COUNTEREVIDENCE_MINIMUM,0B12AD73032DD82DB776A3B3CC6EB8A788BBBC90467758F9864A16F3FDD0490B,sources/P0022.pdf,PDF,4C8894137BB7C6903C175F714A1BC4E9E1026838C6322115350E19115E577E86,3858343,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
16,PRIMARY,P0174,RGF50ED803CA18569B,CW37F7787F4A6461055A71,Distill on a Diet: Efficient Knowledge Distillation via Learnable Data Pruning,RQ2,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,0DA4DAE8A6E97CB07C56A61AD7B3572706669F2A045F9AD2259843F909615D0E,sources/P0174.pdf,PDF,9C990060F4B9CDA4E70A9A0728162A7DFC6610DD178DF95A0FCA9853595C5648,2229970,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
17,PRIMARY,P0009,RGED1DACF969323F31,CW1C4264F5AD37FAA5A2B2,"Prioritized Training on Points that are Learnable, Worth Learning, and Not Yet Learnt",RQ2,RQ1;RQ4;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,105E6577A4BDF17B7756B6E13585607A55AB96EB94D85E13518E52ABB128B061,sources/P0009.pdf,PDF,0462CCB03E6139A33420CE44C17E51CC6388124F2AE3C285750D564D23405157,1545992,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
18,PRIMARY,P0005,RG245A42E2CC8F508E,CWFF9F255564B9129445C5,Directional Influence Function: Estimating Training Data Influence in Constrained Learning,RQ3,RQ2;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,10AF66950C36CD751B338E45C8AF4BF0D16791FD0C2800AEBC2FD5741266CBBB,sources/P0005.pdf,PDF,24EFCBFC36ADDDF0CB26EF5F78ECE24EBE31A47339505F08CDC0D39343AD8D82,506907,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
19,PRIMARY,P0248,RG7F3F7EB83A85BA9C,CW80560508AC6299022C3B,Class-Incremental Experience Replay for Continual Learning under Concept Drift,RQ6,RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,12ADD4F477FDAAAC2268C0A5D48FCA683A69D24F71165B1B8EBEB748FC922236,sources/P0248.pdf,PDF,ADBAA1A65921864024234B26F17BE09B6159EBC2F4B3415583F77737173C713E,513141,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
20,PRIMARY,P0165,RG1BD47F376292EB02,CWE0412AAB5FAB9F4950BE,Calibrating Deep Neural Networks using Explicit Regularisation and Dynamic Data Pruning,RQ8,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,13DA579F87D538EAD0686B022C3211F3DDBF64D3F02A888510BE10E64A233912,sources/P0165.pdf,PDF,8AF77F6E2390CC8E0BFC0A6C12894AABD671BA30B2F7CAD65C3A8E56208C9301,476308,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
21,PRIMARY,P0494,RGDF86884201588E4B,CW726A068F040FD8815C03,Adaptive Ranking-based Sample Selection for Weakly Supervised Class-imbalanced Text Classification,RQ2,RQ1;RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1486B456DB13B91BAA18B6F37DCA3BEC2524A5CAA518E1F676D0FCE7FFE21BD2,sources/P0494.pdf,PDF,64FBCBB684508BC0D77EB9652366A191204198700447CA25F288696A0AA8F901,1267588,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
22,PRIMARY,P0471,RG2EEE50021E0C9BD8,CW25DCF48B77443913F60A,Exploring Learning Complexity for Efficient Downstream Dataset Pruning,RQ2,RQ1;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1613E168EAD1BE85B5095F727969A361F60BFD39E817827CFF805D94E601193A,sources/P0471.pdf,PDF,17555B7F7FDADC74E46CD50A13EAF2DBA174111078AE3BCD9985DAD9244292E1,3360253,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
23,PRIMARY,P0361,RGA385AC39EC4DB252,CW16DA3A6645F413A0F94D,ANNE: Adaptive Nearest Neighbors and Eigenvector-based Sample Selection for Robust Learning with Noisy Labels,RQ2,RQ1;RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,168560A9712B1756450AB828485A9B1864F77CF56A948E581678567FBD812E38,sources/P0361.pdf,PDF,1C403821CD8C1243A5FF907690DE28E78A1017942B8DFCD9B97A9ADF66E78574,2197305,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
24,PRIMARY,P0319,RG9DE8750E04F8B409,CWAC4080FD732BFDC2532D,Reinforcement Learning-Based Path Generation Using Sequential Pattern Reduction and Self-Directed Curriculum Learning,RQ2,RQ1;RQ5;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,1A5C51B2927BCB3EB866D12A4E4BD9A53751C83743334D1E258C2CD03EC3A6B7,sources/P0319.pdf,PDF,4ACD4BE235770D713BB52F3CCB30DD3317B784A099E71B93E257302CD1540304,7027919,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
25,PRIMARY,P0202,RGF8B354BB7D617BC1,CW20ACF2EDFB64F3E87150,On the Calibration of Pre-trained Language Models using Mixup Guided by Area Under the Margin and Saliency,RQ2,RQ4;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,1A9A4027556FB270B6BC2E8EAF4B172FBC715D5D3C3AB57EB91B9D0FB0C2BCAA,sources/P0202.pdf,PDF,E8A48626C2ED4344966F29007E9115DE5B3AB87AD3A497ADB7682F0367045522,304886,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
26,PRIMARY,P0280,RGE0493257044E0DAC,CW17ABA4810F0FE42A611C,An Empirical Study of Automated Mislabel Detection in Real World Vision Datasets,RQ4,RQ1;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1AABCB0D92F382E16C11A2BD346615FCA2E207731CFAFB416090F163008871DC,sources/P0280.pdf,PDF,681694037BC4CF706D96BAFCAEF1667072208174B7CA9020321066D6DDE8C4C9,1073606,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
27,PRIMARY,P0451,RG3EFA4F2CB8C3FD4C,CWCAE13ABD789B845B7098,Identifying Noise in Human-Created Datasets using Training Dynamics from Generative Models,RQ4,RQ1,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1B9AC50BB59994FFBBD19670FCDE1029705D0A414E2913989D25B2D060ED9090,sources/P0451.pdf,PDF,5A931405402EEFFAFC7B6E6D5D1C9C446732ABDA7A124CA0DDDBFE5DEDF3237C,3157440,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
28,PRIMARY,P0168,RG884EC55CA7201C25,CWF500847CB8ED6525F3D3,Data pruning and neural scaling laws: fundamental limitations of score-based algorithms,RQ2,RQ1;RQ5,D1_DIRECT_UTILITY,STRICT_CONTROL_NEGATIVE,NULL_NEGATIVE,COUNTEREVIDENCE_MINIMUM,1CBDEAAA3EAF7E7E9ED4A676240644DE3AFADC6C85728296FA0F91F039BC5EB6,sources/P0168.pdf,PDF,AA86DD12B4B6457897CA8119CDA350C8E7E7AE6979D65D57B65F3328067A32A7,2592289,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
29,PRIMARY,P0152,RG4E7AAB3589A6092D,CW502959B0628B0D515DC0,Play it Straight: An Intelligent Data Pruning Technique for Green-AI,RQ2,RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1D34B6475148C8C87A097EDE2BFAD51CB1C23451C39AE607AC5488DEAD841537,sources/P0152.pdf,PDF,AD6B4C1B75AEC0879590596394811C56618AE70D5A1BC56A4BA9EE2607C5211F,596275,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
30,PRIMARY,P0195,RG0F41BBB6BA80A765,CW93AC1771E15E6E36424E,FedDiv: Collaborative Noise Filtering for Federated Learning with Noisy Labels,RQ2,RQ1;RQ4;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1E6202A727565DA76F270F4C5299D9460F2066B0CDD8B165827C5F94954FD833,sources/P0195.pdf,PDF,41F2E0F99E009648B8ED0A153090D7ACC8AE3735EE4EEB532964E8096AEAB026,408753,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
31,PRIMARY,P0290,RG01DD1491E9D9A923,CWFF50A03E32DACC52550C,An analytical theory of curriculum learning in teacher–student networks*,RQ6,RQ1;RQ2;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,1EBD8C7571DDDEA830BCD3A4912502104A6DF6C177AA5459742E1329789D27AA,sources/P0290.pdf,PDF,808BE4A127D1B6FC8414D44804866113F3482BFB711B84CAE312F17E540A9286,1566192,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
32,PRIMARY,P0046,RG144323F817062020,CWBB522EF90675376968EA,Automatic Combination of Sample Selection Strategies for Few-Shot Learning,RQ3,RQ2;RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,1F88267FED3537FAA1788A8F4B2A3402B33C5E9F59AE584B577B083353990CC8,sources/P0046.pdf,PDF,CA8F3F98FC0953B3AD566786C82B9AE03ED005E7A1D758BACFEDE15AF65C9132,7594462,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
33,PRIMARY,P0288,RG3ADE3715B4112D35,CW66D63F235A33EE3864F6,Training Gradient Boosted Decision Trees on Tabular Data Containing Label Noise for Classification Tasks,RQ4,RQ2;RQ7,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,1FB107F6587D949CDA560F5188AD9DED2FC69242289263F83898FF2200F00CA8,sources/P0288.pdf,PDF,D8C3849C86D9B353D185D175D3DE83767FC05228DB0436ABA83DB6C6ACF5048C,2445100,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
34,PRIMARY,P0401,RG438087AD1A47D500,CW1B352F229F7BC6E5CA99,MAGIC: Near-Optimal Data Attribution for Deep Learning,RQ3,RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,1FEDA9B9B5CCC43D96263A719AC485C131F72639410630FA4AB11E4E77F6D53B,sources/P0401.pdf,PDF,C9C1D4EF73856F436200FEB89FD8C2C7AAE22D6DE5FAB3B56AF15971EAEA6EEB,267621,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
35,PRIMARY,P0260,RG6015B6F785C98A08,CWFD8A454BA7E6C880183A,BERT on a Data Diet: Finding Important Examples by Gradient-Based Pruning,RQ3,RQ1;RQ4;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,201F1E663CA853BAC6539AA77EF232DB13FDACAAE45D86CF67C97708DFF5F1B5,sources/P0260.pdf,PDF,1D73E4754AA1365A1A1BD327E5A77A746DF39C2F624846F28FDA416375484FA8,390683,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
36,PRIMARY,P0313,RGA2C29BF07455BC6D,CW072CD3C73375D773344E,Extracting In-domain Training Corpora for Neural Machine Translation Using Data Selection Methods,RQ2,RQ5;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,209AE673E84D43E72E6E8345A02E560113E1BDB1A7EC26284F13E8FC99075647,sources/P0313.pdf,PDF,47378259B21F2DB9947844978A71FBFE2686D35D1D5EEAAA347BF36A4275F016,181759,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
37,PRIMARY,P0044,RG3A20C57631EB3E57,CWD439940AA234F13623FA,Refined Coreset Selection: Towards Minimal Coreset Size under Model Performance Constraints,RQ4,RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,21A61EAF0F24BFC8AA3260F1D0A039FAD83A71A57E4E38CC0BE02E1A9AAD01CA,sources/P0044.pdf,PDF,BE17B90963778CAD0BB37F61B9BA236DF6687022484EE2249C577D3FFEDB4F92,858165,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
38,PRIMARY,P0228,RG6F00B1CBA5BDDEFC,CW70EE62ADEDC9E0C7537C,Army of Thieves: Enhancing Black-Box Model Extraction via Ensemble based sample selection,RQ2,RQ4;RQ5,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,21D2E06B03DFFF7D7829DC5540AB5D3C75AF810340B88951C67B8B310CD509E9,sources/P0228.pdf,PDF,B1FF6C8AAABE29278E4643176854AD121EF2864B24C832250F541C9968FAA7F2,1519202,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
39,PRIMARY,P0100,RG7331055CADB138B9,CWBB7F6537FC3851F93AA6,Training Dynamics for Text Summarization Models,RQ3,RQ1;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,222F029FF2E940999C28E94A21E2516526739A7351C96C77C33A99C71E3D050C,sources/P0100.pdf,PDF,D8E7E2B8FBABD424BAA3BF91D35F585CBCB0BCFD0E89AF88C008ED9A5A93C829,1441773,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
40,PRIMARY,P0139,RGA9766A480B677D25,CWD23DC49A89CECC146B85,Learning What Matters: Prioritized Concept Learning via Relative Error-driven Sample Selection,RQ2,RQ1;RQ5;RQ6,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,226448D3A34E39ADD278C2FA36ACCE391F4A10CD7A5A2A18DA81863123A5B5F5,sources/P0139.pdf,PDF,ECA725659A77A3F0DF0EAC951A67529CC6264F786AB1571AFD6C03FF4320B2D0,5553270,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
41,PRIMARY,P0359,RG7A9F64D6BE2FF808,CWE9EF786ABBE6E61B38FA,Denoising Neural Machine Translation Training with Trusted Data and Online Data Selection,RQ2,RQ4;RQ5;RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,2329A0BF4B057DAF6D2694B3F3E7FEFF4A7F3B86DBF12BC73E6397F679E3D983,sources/P0359.pdf,PDF,E67BCC1AE2D0060C174A68A18F0C76C31F317A8B59B6E3F68CCBD28B22A32AFD,215435,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
42,PRIMARY,P0213,RGAC619FD24AE93C65,CW2E9D8BCC9ABE5F270C0B,"How Faithful Is Trajectory-Based Data Attribution? Error Sources, Remedies, and Practical Guidelines",RQ3,RQ2;RQ6;RQ7,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,2342A86895C24FF2F73C1D4D61B0CDA88D8D19A27A6B724FFE154E2E73130D98,sources/P0213.pdf,PDF,14496876C510EA7A2C526655F7D0915FF01358A6D683B6B9FE9AC12BFCEF325F,959429,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
43,PRIMARY,P0191,RGA0C42B6F141443A0,CW823E525D93E51C5AC1EC,Multi-Objective Interpolation Training for Robustness to Label Noise,RQ1,NOT_APPLICABLE_WITH_REASON:no secondary RQ,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,23C38D988BEF57898C78FF9886BCF85E7E030C1A2940705662D40A67712FBBBE,sources/P0191.pdf,PDF,D3C24F74BACFF03FE628CB9F2B7DC9DA632F90A094840FDB30AC7E4629F3D7D3,2475574,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
44,PRIMARY,P0375,RG8605B5F5774B2C10,CW5EBF679E2094B38A468D,Class-Independent Regularization for Learning with Noisy Labels,RQ8,RQ1,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,RQ_MINIMUM,23CDE924E7C1768E7CEAC49D604E45B3C7852FE1F274777A12488D312E4C0B7C,sources/P0375.pdf,PDF,895BD358FD2BEED01296B807AA507DD6DB60478D6601CE03F895BE4D62C2416C,2049016,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
45,PRIMARY,P0307,RG96C4FCD37EAF46A2,CWF8A6290B5B4578AC1BD5,Accuracy-based Curriculum Learning in Deep Reinforcement Learning,RQ1,RQ2;RQ6,D4_TRANSFER_ANALOG,TRANSFER_COMPONENT,MIXED,GLOBAL_FILL,24AF30810019C0BC27506ED530BD323B07AE61CC1C05EF0928D8F4222D752A2F,sources/P0307.pdf,PDF,DAC7687994A08A0CE8CE3214A69A10593CDE73D8BCF3B04744C0C3B7416518AB,450551,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
46,PRIMARY,P0060,RGBBDE7FEFA3C75C54,CW0E04DC551A9EB3F3105D,Learning to Weight Parameters for Training Data Attribution,RQ7,RQ3,D2_DIRECT_MECHANISM,DIRECT_MECHANISM,MIXED,GLOBAL_FILL,25615D49DB23728D1842AC32DA58392C1B495557E086DD026CABBEEC3C8DC7CF,sources/P0060.pdf,PDF,F3BAE7A11099C99CB0394F3CA42CC9E7D77B6C7DABA50CEA26FEE6C232D84AF4,1924982,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
47,PRIMARY,P0264,RG57D6B0A1FD673276,CW1F16F913FDB5EC4C55F0,Accelerating Reinforcement Learning for Reaching Using Continuous Curriculum Learning,RQ2,RQ6;RQ7,D1_DIRECT_UTILITY,DIRECT_INTERVENTION,SUPPORTED,RQ_MINIMUM,26488F4E53F77432D0452A0D6FDE3C082BA024945792AE7CA760EB58B8747242,sources/P0264.pdf,PDF,9001410C90B6B45261700991D498C596A27B59C76B49235D8B6190E7749479C8,5224520,REUSE_VERIFIED_PDF,NOT_ASSESSED_AT_BROAD_LEVEL
